Date,Open,High,Low,Close,Volume
2016-08-22,4809.25,4818.0,4789.5,4811.75,196397
2016-08-23,4809.25,4836.75,4807.75,4817.0,160448
2016-08-24,4818.5,4823.5,4770.75,4786.25,190472
2016-08-25,4786.5,4794.0,4768.25,4782.25,194394
2016-08-26,4783.5,4817.5,4757.25,4785.75,281261
2016-08-29,4786.0,4805.75,4774.0,4793.25,146925
2016-08-30,4795.0,4798.5,4759.75,4776.0,186259
2016-08-31,4778.25,4779.25,4751.5,4773.75,198477
2016-09-01,4774.0,4795.25,4749.5,4777.5,248348
2016-09-02,4777.5,4817.75,4774.25,4795.25,227919
2016-09-06,4801.25,4831.5,4782.25,4827.5,208188
2016-09-07,4830.25,4839.5,4812.5,4828.75,193455
2016-09-08,4827.75,4837.0,4789.5,4796.0,251333
2016-09-09,4796.0,4798.0,4665.0,4671.0,265154
2016-09-12,4671.0,4772.0,4629.0,4766.75,178342
2016-09-13,4763.25,4764.75,4699.25,4727.75,142822
2016-09-14,4732.75,4771.0,4724.0,4732.5,77624
2016-09-15,4734.0,4826.75,4720.5,4817.75,61726
2016-09-16,4813.25,4828.75,4799.0,4817.0,285889
2016-09-19,4814.75,4841.75,4782.5,4794.25,235031
2016-09-20,4796.75,4820.5,4790.0,4798.5,195027
2016-09-21,4800.0,4854.5,4788.5,4850.0,291231
2016-09-22,4849.0,4892.25,4842.75,4886.25,196512
2016-09-23,4887.25,4889.75,4848.25,4856.5,197323
2016-09-26,4852.0,4859.5,4807.5,4815.0,209587
2016-09-27,4813.75,4864.5,4800.75,4860.75,227156
2016-09-28,4857.5,4873.25,4844.75,4868.25,208679
2016-09-29,4866.75,4876.5,4812.5,4844.25,306337
2016-09-30,4839.25,4885.5,4811.75,4870.25,248154
2016-10-03,4867.25,4879.5,4842.75,4865.75,177125
2016-10-04,4866.75,4888.0,4836.25,4857.5,276978
2016-10-05,4856.5,4888.5,4849.25,4873.5,182962
2016-10-06,4874.0,4881.0,4845.5,4872.0,187196
2016-10-07,4870.25,4883.75,4834.75,4859.0,281205
2016-10-11,4892.0,4897.25,4798.0,4827.0,316603
2016-10-12,4822.25,4842.0,4800.25,4813.5,234222
2016-10-13,4804.75,4813.0,4754.5,4796.0,297938
2016-10-14,4796.0,4841.0,4786.25,4804.25,237878
2016-10-17,4803.5,4810.5,4781.0,4803.25,179668
2016-10-18,4802.25,4856.75,4799.75,4827.0,205551
2016-10-19,4823.75,4840.25,4811.0,4830.25,148339
2016-10-20,4828.25,4847.25,4798.75,4843.75,248117
2016-10-21,4844.25,4849.0,4814.75,4843.25,188661
2016-10-24,4847.25,4908.75,4842.75,4902.75,182257
2016-10-25,4906.25,4919.5,4873.5,4886.0,184984
2016-10-26,4874.0,4881.75,4839.5,4853.75,234117
2016-10-27,4852.0,4880.25,4804.25,4807.0,261342
2016-10-28,4818.25,4843.25,4786.5,4806.0,325145
2016-10-31,4795.25,4830.0,4788.25,4796.75,199169
2016-11-01,4802.75,4817.0,4718.75,4757.25,307806
2016-11-02,4754.5,4768.5,4708.25,4716.75,300313
2016-11-03,4700.0,4729.5,4668.25,4674.5,280599
2016-11-04,4671.25,4695.5,4651.25,4657.75,264048
2016-11-07,4709.75,4781.75,4709.75,4775.75,223773
2016-11-08,4777.5,4822.5,4752.75,4802.25,219987
2016-11-09,4807.25,4837.5,4558.5,4820.5,719499
2016-11-10,4817.5,4879.75,4679.25,4743.75,555100
2016-11-14,4753.0,4784.5,4672.75,4694.5,285041
2016-11-15,4692.75,4779.25,4688.0,4766.0,238486
2016-11-16,4765.0,4794.75,4736.25,4783.25,195711
2016-11-17,4781.5,4831.5,4778.0,4828.5,190166
2016-11-18,4828.75,4840.5,4803.0,4808.5,168797
2016-11-21,4813.5,4862.0,4803.25,4854.0,167542
2016-11-22,4858.0,4884.75,4857.0,4874.75,157465
2016-11-23,4877.25,4882.5,4830.25,4849.5,159650
2016-11-25,4850.5,4870.0,4839.5,4868.5,75485
2016-11-28,4864.25,4879.75,4842.75,4861.0,143185
2016-11-29,4861.0,4897.75,4847.5,4875.0,175916
2016-11-30,4872.5,4885.5,4812.5,4816.0,231494
2016-12-01,4819.0,4827.5,4722.75,4736.5,291375
2016-12-02,4735.5,4759.0,4707.25,4738.5,235325
2016-12-05,4719.0,4795.75,4701.5,4780.5,207428
2016-12-06,4780.75,4796.5,4767.75,4786.75,185123
2016-12-07,4788.75,4854.75,4763.5,4841.75,232690
2016-12-08,4844.5,4869.5,4836.0,4863.0,225777
2016-12-09,4861.25,4897.5,4852.5,4893.75,133170
2016-12-12,4899.0,4917.0,4852.5,4867.75,124198
2016-12-13,4867.0,4962.0,4861.5,4937.75,131855
2016-12-14,4939.5,4956.5,4910.25,4931.75,74019
2016-12-15,4928.5,4960.75,4917.5,4934.5,48306
2016-12-16,4938.0,4948.25,4930.25,4943.5,185358
2016-12-19,4915.75,4966.25,4912.5,4938.75,146138
2016-12-20,4939.5,4963.25,4938.5,4956.0,109979
2016-12-21,4956.0,4960.0,4939.25,4949.5,90653
2016-12-22,4948.0,4953.0,4917.0,4936.5,110522
2016-12-23,4933.75,4943.75,4922.75,4942.25,69061
2016-12-27,4942.0,4994.5,4940.0,4961.25,100365
2016-12-28,4961.25,4979.25,4920.25,4923.75,136664
2016-12-29,4923.75,4933.5,4901.25,4918.5,121556
2016-12-30,4920.5,4940.0,4850.0,4864.0,197659
2017-01-03,4876.75,4927.5,4876.75,4906.25,215983
2017-01-04,4906.5,4942.5,4903.0,4933.5,171952
2017-01-05,4934.75,4964.25,4920.5,4962.0,169565
2017-01-06,4962.5,5017.5,4952.5,5004.0,183315
2017-01-09,5004.5,5029.5,5002.5,5022.0,148112
2017-01-10,5022.0,5047.0,5007.25,5031.25,153774
2017-01-11,5032.75,5048.25,5007.5,5046.5,218752
2017-01-12,5044.5,5044.75,4990.25,5034.75,212324
2017-01-13,5035.25,5063.25,5035.25,5061.25,136613
2017-01-17,5056.25,5059.0,5025.0,5040.25,198098
2017-01-18,5040.5,5057.25,5034.0,5054.5,159690
2017-01-19,5053.25,5074.75,5036.5,5053.5,185603
2017-01-20,5055.5,5083.0,5044.75,5058.25,216184
2017-01-23,5059.0,5069.75,5030.25,5063.5,181150
2017-01-24,5063.75,5104.0,5060.0,5096.25,141578
2017-01-25,5100.0,5150.0,5099.75,5146.5,153214
2017-01-26,5148.25,5168.5,5141.75,5147.75,173375
2017-01-27,5144.25,5167.5,5139.25,5162.5,138335
2017-01-30,5146.25,5154.5,5094.5,5124.5,249340
2017-01-31,5123.5,5135.0,5083.25,5112.75,214696
2017-02-01,5132.0,5158.25,5123.0,5148.5,237364
2017-02-02,5147.75,5157.5,5119.5,5131.0,209875
2017-02-03,5129.5,5162.25,5119.75,5155.0,181444
2017-02-06,5157.25,5163.5,5140.25,5157.75,145402
2017-02-07,5157.0,5192.0,5154.25,5176.75,164423
2017-02-08,5175.0,5197.0,5163.5,5191.25,166260
2017-02-09,5189.75,5219.25,5186.25,5212.25,157897
2017-02-10,5211.25,5232.5,5209.75,5226.75,147032
2017-02-13,5229.25,5261.5,5226.75,5259.25,144520
2017-02-14,5259.25,5278.0,5239.75,5276.0,166904
2017-02-15,5274.5,5313.5,5265.25,5310.0,168262
2017-02-16,5313.0,5317.0,5288.5,5300.5,209931
2017-02-17,5300.25,5328.75,5286.75,5325.75,170805
2017-02-21,5323.5,5353.75,5320.5,5343.75,192758
2017-02-22,5345.5,5355.5,5336.25,5351.0,156582
2017-02-23,5352.5,5361.25,5310.75,5332.0,240394
2017-02-24,5329.25,5344.5,5299.0,5343.25,211944
2017-02-27,5340.0,5352.5,5323.25,5347.5,153779
2017-02-28,5345.0,5350.0,5317.0,5332.25,168037
2017-03-01,5334.5,5400.0,5332.0,5386.0,241769
2017-03-02,5382.75,5393.75,5356.25,5364.75,206020
2017-03-03,5358.75,5373.5,5344.25,5372.0,176727
2017-03-06,5369.0,5374.5,5339.0,5361.0,166727
2017-03-07,5354.75,5374.25,5341.5,5349.75,180791
2017-03-08,5350.0,5377.25,5333.75,5363.0,221615
2017-03-09,5362.25,5372.0,5335.5,5366.75,249227
2017-03-10,5370.0,5395.25,5363.0,5382.0,159754
2017-03-13,5381.0,5396.5,5371.75,5395.5,85360
2017-03-14,5394.5,5396.75,5360.0,5381.5,92067
2017-03-15,5380.5,5427.25,5376.0,5415.25,63828
2017-03-16,5412.25,5440.0,5398.75,5413.0,35580
2017-03-17,5411.75,5423.0,5405.75,5417.25,143955
2017-03-20,5407.25,5428.0,5396.0,5418.5,144687
2017-03-21,5415.75,5441.0,5330.0,5338.25,414738
2017-03-22,5334.25,5376.25,5315.0,5365.75,335865
